,Train Loss,Validation Loss
139,0.8493056,0.86860055
140,0.84926075,0.86856437
141,0.84921604,0.8685787
142,0.8492481,0.8685257
143,0.8492055,0.8685456
144,0.84922916,0.8685357
145,0.8492187,0.86849326
146,0.84919095,0.8684915
147,0.84917986,0.8684949
148,0.84914005,0.86851496
149,0.84912634,0.8684455
150,0.8490397,0.86846054
151,0.8490318,0.8684486
152,0.8490085,0.86842847
153,0.84903944,0.8684022
154,0.8489811,0.8683995
155,0.84898823,0.8683793
156,0.84896034,0.8683691
157,0.8489713,0.86837864
158,0.8489778,0.8683537
159,0.8489533,0.8683091
160,0.8489068,0.8683208
161,0.8489132,0.86832076
162,0.84890884,0.8683031
163,0.84886426,0.868291
164,0.84889174,0.8683025
165,0.84888947,0.86826897
166,0.8488078,0.8682521
167,0.84884167,0.8682522
168,0.848818,0.8682541
169,0.84881914,0.86824095
170,0.84883624,0.86823803
171,0.8488164,0.8682381
172,0.84879494,0.86821264
173,0.84874403,0.86821246
174,0.84878445,0.8681895
175,0.84878105,0.868191
176,0.8487498,0.8681821
177,0.8487497,0.8681783
178,0.8487608,0.86815184
179,0.84877056,0.8681539
180,0.84871423,0.8681718
181,0.8486693,0.86815244
182,0.84868014,0.86813205
183,0.84875983,0.8681321
184,0.8486759,0.8681219
185,0.8486391,0.8681114
186,0.8486704,0.8681128
187,0.8486782,0.8680857
188,0.84866464,0.8680917
189,0.8486375,0.8680892
190,0.8486816,0.8680755
191,0.8486567,0.8680596
192,0.8486314,0.86806
193,0.84868807,0.868068
194,0.8486351,0.8680763
195,0.84870034,0.8680506
196,0.848652,0.8680455
197,0.84864026,0.8680484
198,0.84864634,0.8680235
199,0.8486158,0.8680146
200,0.84858155,0.86803067
201,0.84856564,0.8680079
202,0.84857184,0.8680101
203,0.84859824,0.86799437
204,0.848572,0.8679883
